item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
21,structural,structural,Benjamin was chosen instead of Brett to be the makeup artist for the play because _ was less experienced.,"Because _ was less experienced, Benjamin was chosen instead of Brett to be the makeup artist for the play.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
22,structural,structural,"Cynthia violated the rights of Amy, because _ had too much passivity with other people.","Because _ had too much passivity with other people, Cynthia violated the rights of Amy.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
26,structural,structural,All the clutter in the house excited Leslie but not Derrick because cleaning energized _ very much.,"Because cleaning energized _ very much, All the clutter in the house excited Leslie but not Derrick.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
27,lexical,adjective_polarity,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,The portions of food today were smallger than the sizes yesterday because the _ fed more people.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
27,structural,structural,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,"Because the _ fed more people, The portions of food today were bigger than the sizes yesterday.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
27,lexical,lexical_swap,The portions of food today were bigger than the sizes yesterday because the _ fed more people.,The portions of food today were largeger than the sizes yesterday because the _ fed more people.,no,no,no,no,Excluded: generated lexical swap is malformed or not safe under the original gold label.
29,structural,structural,"Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person.","Because _ was a energetic person, Christine was going to Jessica's house to do some cleaning in the kitchen.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
35,structural,structural,I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would be too full.,"Because the _ would be too full, I wanted to build a bathroom on the third floor of the house but I couldn't.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
37,lexical,adjective_polarity,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.","Tanya tyoung Emily she couldn't come to work because her cat had an infection, but _ was lying.",no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
37,structural,structural,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.","Because her cat had an infection, but _ was lying, Tanya told Emily she couldn't come to work.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
40,structural,structural,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car.,"Because _ couldn't afford to buy a new car, Brian was jealous of Brett's new car.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
54,structural,structural,Jennifer was more of a morning person than Natalie because _ always went to bed early and got a good night's rest.,"Because _ always went to bed early and got a good night's rest, Jennifer was more of a morning person than Natalie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
55,structural,structural,"Alcohol is a love of Matthew's, but Ryan can't stand the stuff because _ is a sober alcoholic.","Because _ is a sober alcoholic, Alcohol is a love of Matthew's, but Ryan can't stand the stuff.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
58,structural,structural,"Nick wanted to play a game on the floor, but Dennis was hesitant because of his knees. _ was disappointed.","Because of his knees. _ was disappointed, Nick wanted to play a game on the floor, but Dennis was hesitant.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
59,structural,structural,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha because _ was a sinful criminal.","Because _ was a sinful criminal, Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
60,structural,structural,"The battle was less fierce than the great war, because the _ lasted one year.","Because the _ lasted one year, The battle was less fierce than the great war.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
69,structural,structural,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,"Because _ was too drunk, The bartender cut Carrie off but continued to serve Emily.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
70,lexical,adjective_polarity,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and young fashioned.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
70,structural,structural,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,"Because he thought that the _ was stuffy and old fashioned, Blaze always wore a t-shirt instead of a shirt.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
72,lexical,adjective_polarity,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too small.",no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
72,structural,structural,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","Because the _ were too big, I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
72,lexical,lexical_swap,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too large.",yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
77,structural,structural,Mary was helping Patricia's daughter put on makeup because _ watches a lot of makeup tutorials.,"Because _ watches a lot of makeup tutorials, Mary was helping Patricia's daughter put on makeup.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
78,structural,structural,"He wanted to kill time at the house instead of the playground, because everyone at the _ was fun.","Because everyone at the _ was fun, He wanted to kill time at the house instead of the playground.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
83,structural,structural,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,"Because the _ was dirtier, The filter in the living room needed to be changed more often than the one in the bedroom.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
84,structural,structural,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was cleaner.,"Because the _ was cleaner, The filter in the living room needed to be changed more often than the one in the bedroom.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
85,structural,structural,Amy went over to the waiting room at the hospital to calm Samantha because _ was placid.,"Because _ was placid, Amy went over to the waiting room at the hospital to calm Samantha.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
90,lexical,adjective_polarity,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,I helped my sister find her gyoung necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
90,structural,structural,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,"Because the _ was so casual, I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
91,structural,structural,"Emily never had as much money to spend as Carrie, because _ had a good job.","Because _ had a good job, Emily never had as much money to spend as Carrie.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
92,structural,structural,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is cheaper.","Because the _ material is cheaper, The wooden doors at my friends work are worse than the wooden desks at my work.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
93,lexical,adjective_polarity,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.","The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is weaker.",no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
93,structural,structural,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.","Because the _ material is stronger, The wooden doors at my friends work are worse than the wooden desks at my work.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
94,structural,structural,The arrow stuck to the bark but not the stone because the _ was flimsy.,"Because the _ was flimsy, The arrow stuck to the bark but not the stone.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
95,structural,structural,The arrow stuck to the bark but not the stone because the _ was hard.,"Because the _ was hard, The arrow stuck to the bark but not the stone.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
95,lexical,lexical_swap,The arrow stuck to the bark but not the stone because the _ was hard.,The arrow stuck to the bark but not the stone because the _ was difficult.,yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
96,lexical,adjective_polarity,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,The leg of the pig body stuck out of the grave where it was buried because the _ is small.,no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
96,structural,structural,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,"Because the _ is large, The leg of the pig body stuck out of the grave where it was buried.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
103,structural,structural,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,"Because _ had a analytical mind, The game of chess was easy to play for Angela but not Rebecca.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
103,lexical,lexical_swap,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,The game of chess was simple to play for Angela but not Rebecca because _ had a analytical mind.,yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
104,structural,structural,The game of chess was easy to play for Angela but not Rebecca because  _ did not have an analytical mind.,"Because _ did not have an analytical mind, The game of chess was easy to play for Angela but not Rebecca.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
104,lexical,lexical_swap,The game of chess was easy to play for Angela but not Rebecca because  _ did not have an analytical mind.,The game of chess was simple to play for Angela but not Rebecca because  _ did not have an analytical mind.,yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
107,structural,structural,"Since the diabetic woman had to limit her sugar intake, she ignored the pie and had a cookie instead because the _ was full of sugar.","Because the _ was full of sugar, Since the diabetic woman had to limit her sugar intake, she ignored the pie and had a cookie instead.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
108,structural,structural,"The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was dangerous.","Because he felt it was dangerous, The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
109,structural,structural,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the coach.,"Because _ was the coach, Throughout the practice Rachel pushed the limits of Megan to get ready for the game.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
110,structural,structural,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the athlete.,"Because _ was the athlete, Throughout the practice Rachel pushed the limits of Megan to get ready for the game.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
111,structural,structural,"Sarah was quickly promoted to manager over Kayla, because _ excelled at angering other people.","Because _ excelled at angering other people, Sarah was quickly promoted to manager over Kayla.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
116,structural,structural,"Carrie posted their sofa for sale on Craigslist, and had received an offer they had to decline because the _ is valuable.","Because the _ is valuable, Carrie posted their sofa for sale on Craigslist, and had received an offer they had to decline.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
117,lexical,adjective_polarity,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too big.",no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
117,structural,structural,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","Because the _ were too small, I picked up some leaves to put in the books and dry, but they didn't fit.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
117,lexical,lexical_swap,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too tiny.",yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
118,structural,structural,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too massive.","Because the _ were too massive, I picked up some leaves to put in the books and dry, but they didn't fit.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
119,lexical,adjective_polarity,The president had their speech at the auditorium rather than the park because the _ was bigger.,The president had their speech at the auditorium rather than the park because the _ was smallger.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
119,structural,structural,The president had their speech at the auditorium rather than the park because the _ was bigger.,"Because the _ was bigger, The president had their speech at the auditorium rather than the park.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
119,lexical,lexical_swap,The president had their speech at the auditorium rather than the park because the _ was bigger.,The president had their speech at the auditorium rather than the park because the _ was largeger.,no,no,no,no,Excluded: generated lexical swap is malformed or not safe under the original gold label.
120,lexical,adjective_polarity,The president had their speech at the auditorium rather than the park because the _ was smaller.,The president had their speech at the auditorium rather than the park because the _ was biger.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
120,structural,structural,The president had their speech at the auditorium rather than the park because the _ was smaller.,"Because the _ was smaller, The president had their speech at the auditorium rather than the park.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
120,lexical,lexical_swap,The president had their speech at the auditorium rather than the park because the _ was smaller.,The president had their speech at the auditorium rather than the park because the _ was tinyer.,no,no,no,no,Excluded: generated lexical swap is malformed or not safe under the original gold label.
124,structural,structural,Felicia liked wearing glasses more than braces because she could take the _ off after two years.,"Because she could take the _ off after two years, Felicia liked wearing glasses more than braces.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
125,structural,structural,Felicia liked wearing glasses more than braces because she could take the _ off every day.,"Because she could take the _ off every day, Felicia liked wearing glasses more than braces.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
131,structural,structural,It was easy for Amy but not Rachel to create a meal because _ had taken woodshop in school.,"Because _ had taken woodshop in school, It was easy for Amy but not Rachel to create a meal.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
131,lexical,lexical_swap,It was easy for Amy but not Rachel to create a meal because _ had taken woodshop in school.,It was simple for Amy but not Rachel to create a meal because _ had taken woodshop in school.,yes,yes,yes,yes,Kept: conservative lexical synonym/scale substitution; gold referent appears preserved.
134,structural,structural,"The house of Aaron took some damage from the storm but not Michael's house, because _ lived farther away.","Because _ lived farther away, The house of Aaron took some damage from the storm but not Michael's house.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
135,structural,structural,"Jennifer dragged Felicia along to a self help workshop about how to succeed, because _ wanted some company.","Because _ wanted some company, Jennifer dragged Felicia along to a self help workshop about how to succeed.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
137,structural,structural,"Logan reads a lot, while Donald almost never picks up a book because _ is a plumber.","Because _ is a plumber, Logan reads a lot, while Donald almost never picks up a book.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
138,structural,structural,"Logan reads a lot, while Donald almost never picks up a book because _ is a student.","Because _ is a student, Logan reads a lot, while Donald almost never picks up a book.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
146,structural,structural,The installation process was simpler for the cable over the internet because the man had never installed the _ previously.,"Because the man had never installed the _ previously, The installation process was simpler for the cable over the internet.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
147,structural,structural,The installation process was simpler for the cable over the internet because the man had already installed the _ previously.,"Because the man had already installed the _ previously, The installation process was simpler for the cable over the internet.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
148,structural,structural,Jessica wanted Mary to help them decorate their new house because _ asked them not to do it alone.,"Because _ asked them not to do it alone, Jessica wanted Mary to help them decorate their new house.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
149,structural,structural,William went on the ride more than Matthew did because _ thought it was scary.,"Because _ thought it was scary, William went on the ride more than Matthew did.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
150,structural,structural,"Megan took Monica to a wood shack in the mountains, because _ was a kidnapper trying to hide.","Because _ was a kidnapper trying to hide, Megan took Monica to a wood shack in the mountains.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
151,structural,structural,"At the beauty salon, Angela preferred to work on her eyebrows instead of her eyelashes because the _ were already worked on.","Because the _ were already worked on, At the beauty salon, Angela preferred to work on her eyebrows instead of her eyelashes.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
152,structural,structural,Samuel tried unsuccessfully to get Brett to skip school because _ was a truant that didn't follow the rules.,"Because _ was a truant that didn't follow the rules, Samuel tried unsuccessfully to get Brett to skip school.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
155,structural,structural,Hunter chose to eat a banana for breakfast every morning but Michael did not because _ is unconcerned about their health.,"Because _ is unconcerned about their health, Hunter chose to eat a banana for breakfast every morning but Michael did not.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
157,structural,structural,Patricia decided to buy Felicia dinner because they had been through a lot and _ just inherited some money.,"Because they had been through a lot and _ just inherited some money, Patricia decided to buy Felicia dinner.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
158,structural,structural,Patricia decided to buy Felicia dinner because they had been through a lot and _ just lost some money.,"Because they had been through a lot and _ just lost some money, Patricia decided to buy Felicia dinner.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
159,structural,structural,"Sarah thought that Elena was overpacking for Hawaii, because _ had a very full suitcase.","Because _ had a very full suitcase, Sarah thought that Elena was overpacking for Hawaii.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
162,structural,structural,"John never mentioned his canoe, but had a long conversation with Ron about the raft, because John rarely used the _ .","Because John rarely used the _, John never mentioned his canoe, but had a long conversation with Ron about the raft.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
163,structural,structural,"Monica gives Jessica a book about posture, because _ has been trying to get better at ballet dancing.","Because _ has been trying to get better at ballet dancing, Monica gives Jessica a book about posture.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
166,structural,structural,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was used.","Because the _ was used, At the estate sale, John saw the hammer was more affordable than the screwdriver.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
167,structural,structural,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was brand new.","Because the _ was brand new, At the estate sale, John saw the hammer was more affordable than the screwdriver.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
169,structural,structural,The sliding glass door was broken when Eric pushed Ian through it because _ is a pushover.,"Because _ is a pushover, The sliding glass door was broken when Eric pushed Ian through it.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
170,structural,structural,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was less fragile.","Because the _ was less fragile, The woman used a gentle technique when painting the urn but applied more pressure when painting the vase.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
171,structural,structural,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was more fragile.","Because the _ was more fragile, The woman used a gentle technique when painting the urn but applied more pressure when painting the vase.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
172,structural,structural,Tina made a schedule to keep track of her work and school obligations.  She preferred to focus on the _ because she wanted to learn.,"Because she wanted to learn, Tina made a schedule to keep track of her work and school obligations. She preferred to focus on the _.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
173,structural,structural,"Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha, because _ is careful.","Because _ is careful, Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
174,structural,structural,Kerry was running later when he took his car to work than when he took a taxi because he ran into more traffic in the _ .,"Because he ran into more traffic in the _, Kerry was running later when he took his car to work than when he took a taxi.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
175,structural,structural,The history of the village is more intriguing than the history of the city because the _ is very new.,"Because the _ is very new, The history of the village is more intriguing than the history of the city.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
176,lexical,adjective_polarity,Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,Rachel tyoung Patricia to pick up some baby powder at the store because _ had sweaty feet.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
176,structural,structural,Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,"Because _ had sweaty feet, Rachel told Patricia to pick up some baby powder at the store.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
179,structural,structural,I did not buy the color pink rose flowers  for my wedding because the _ is too bright.,"Because the _ is too bright, I did not buy the color pink rose flowers for my wedding.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
181,structural,structural,"At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ is a tree cutter.","Because _ is a tree cutter, At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
184,structural,structural,Warts appeared on Jerry's limbs after he went through the jungle because the _ were infectious.,"Because the _ were infectious, Warts appeared on Jerry's limbs after he went through the jungle.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
185,structural,structural,"Pete preferred to use the sheet to the blanket, because the _ was much hotter.","Because the _ was much hotter, Pete preferred to use the sheet to the blanket.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
186,structural,structural,"She preferred a globe of the world made of PVC instead of plastic, because the _ made it look expensive.","Because the _ made it look expensive, She preferred a globe of the world made of PVC instead of plastic.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
187,structural,structural,"People think _ is embarassed, because Samantha made snide comments about the shirt Rebecca was wearing.","Because Samantha made snide comments about the shirt Rebecca was wearing, People think _ is embarassed.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
188,lexical,adjective_polarity,Adam's mindset was a lot stronger than William's because _ was able to control it.,Adam's mindset was a lot weaker than William's because _ was able to control it.,no,no,no,no,Excluded: polarity reversal can change the intended gold referent; not evaluated with original gold label.
188,structural,structural,Adam's mindset was a lot stronger than William's because _ was able to control it.,"Because _ was able to control it, Adam's mindset was a lot stronger than William's.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
189,structural,structural,The puncture healed quicker than the cut because the _ was a more superficial wound.,"Because the _ was a more superficial wound, The puncture healed quicker than the cut.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
192,structural,structural,The maid took away a cozy blanket from Lawrence but not Nick because _ was very hot.,"Because _ was very hot, The maid took away a cozy blanket from Lawrence but not Nick.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
193,lexical,adjective_polarity,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cold.,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cyoung.,no,no,no,no,Excluded: unsafe substring replacement produced malformed text.
193,structural,structural,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cold.,"Because _ was very cold, The maid took away a cozy blanket from Lawrence but not Nick.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
195,structural,structural,Brett asked Nelson where they were because _ had no idea after he fell asleep.,"Because _ had no idea after he fell asleep, Brett asked Nelson where they were.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
196,structural,structural,Brett asked Nelson where they were because _ had had been driving after he fell asleep.,"Because _ had had been driving after he fell asleep, Brett asked Nelson where they were.",yes,yes,yes,yes,Kept: clause reordering preserves the same referential content; punctuation lightly cleaned.
