item_id,sentence,option1,option2,gold,has_dataset_pair,paired_item_id,pair_type_guess,safe_for_manual_perturbation,notes
29,"Since Craig threw aluminum cans in the trash and Benjamin recycled, _ was environmentally irresponsible.",Craig,Benjamin,1,no,,,,
30,"Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person.",Christine,Jessica,1,no,,,,
31,"The students were at their desks taking tests with pencils, they used the _ to hold the papers.",desks,pencils,1,no,,,,
32,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a small dog bed for their pet.,Mary,Rachel,1,yes,33,lexical/attribute_flip,,
33,Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a gigantic dog bed for their pet.,Mary,Rachel,2,yes,32,lexical/attribute_flip,,
34,"Leslie had a lot of issues that Kyle was tired of dealing with, so _ felt abandoned when they finally moved out.",Leslie,Kyle,1,no,,,,
35,"Jessica enjoyed a simple, basic life with Betty, but _ was bored having a quiet existence.",Jessica,Betty,2,no,,,,
36,I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would be too full.,bathroom,floor,2,no,,,,
37,Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,Joel,Eric,2,no,,,,
38,"Tanya told Emily she couldn't come to work because her cat had an infection, but _ was lying.",Tanya,Emily,1,no,,,,
39,"Angela thinks her husband might be cheating with Lindsey, and _ confesses at the dinner party.",Angela,Lindsey,2,no,,,,
40,"Donald's understanding of math isn't as good as Joseph's, so _ is more likely a professor.",Donald,Joseph,2,no,,,,
41,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car.,Brian,Brett,1,no,,,,
42,The man used  his eyes to read the letters but the _ were too small.,letters,eyes,1,no,,,,
43,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be less noticeable.,dress,hat,2,yes,44,lexical/attribute_flip,,
44,Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be more noticeable.,dress,hat,1,yes,43,lexical/attribute_flip,,
45,"On Monday, Patricia made Felicia eggs for an early breakfast, but _ does not like fried eggs.",Patricia,Felicia,2,no,,,,
46,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ loves the color of their eyes.",Craig,William,1,yes,47,lexical/attribute_flip,,
47,"Since Craig wears clear contacts and William wears colored ones, it is safe to assume that _ dislikes the color of their eyes.",Craig,William,2,yes,46,lexical/attribute_flip,,
48,It was easy for Angela to become a vegetarian although Kayla couldn't do it. _ really missed the taste of chicken.,Angela,Kayla,2,no,,,,
49,Hunter was a better baker than Logan so _ made the kitchen a mess when they tried to make an apple pie.,Hunter,Logan,2,no,,,,
50,Tanya spent more on the children's birthday party than Amy. _ thought a magician was a good use of funds.,Tanya,Amy,1,no,,,,
51,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too wide.,brush,crack,1,yes,52,lexical/attribute_flip,,
52,Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,brush,crack,2,yes,51,lexical/attribute_flip,,
53,I look forward to the Sunday newspaper so I can look at the comics.  This is the only reason I still get the _ in this day and age.,newspaper,comics,1,no,,,,
54,Jennifer was more of a morning person than Natalie although _ always went to bed early and got a good night's rest.,Jennifer,Natalie,2,yes,55,structural/framing,,
55,Jennifer was more of a morning person than Natalie because _ always went to bed early and got a good night's rest.,Jennifer,Natalie,1,yes,54,structural/framing,,
56,"Alcohol is a love of Matthew's, but Ryan can't stand the stuff because _ is a sober alcoholic.",Matthew,Ryan,2,no,,,,
57,Joe brought the horse out to the country quite a distance and gave him food but the _ was too much.,food,distance,2,no,,,,
58,"Randy gave their heart to Brian, and _ soon told them that they should have kept their heart to themselves.",Randy,Brian,2,no,,,,
59,"Nick wanted to play a game on the floor, but Dennis was hesitant because of his knees. _ was disappointed.",Nick,Dennis,1,no,,,,
60,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha because _ was a sinful criminal.",Monica,Samantha,1,no,,,,
61,"The battle was less fierce than the great war, because the _ lasted one year.",battle,war,2,no,,,,
62,"Laura used too much super glue on Erins hands, so _ needed to get to the doctor to separate their hands.",Laura,Erin,2,no,,,,
63,James panicked when his phone fell on the table thinking it will break but the _ is soft.,phone,table,2,yes,64,lexical/attribute_flip,,
64,James panicked when his phone fell on the table thinking it will break but the _ is strong.,phone,table,1,yes,63,lexical/attribute_flip,,
65,John cannot touch the cup as it was just brought out of the refrigerator. He wanted some air to blow around it. The _ is very warm.,cup,air,2,no,,,,
66,The fireman used several rags to polish the nozzles on the fire hose; when he was done the _ were dirty.,nozzles,rags,2,no,,,,
67,"Mary wanted to get another piercing in her ear, but the _ was much too tiny.",ear,piercing,1,yes,68,lexical/attribute_flip,,
68,"Mary wanted to get another piercing in her ear, but the _ was much too huge.",ear,piercing,2,yes,67,lexical/attribute_flip,,
69,Laura just loved the taste of green beans but Felicia hated the taste of them. _ didn't have a second serving.,Laura,Felicia,2,no,,,,
70,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,Carrie,Emily,1,no,,,,
71,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,shirt,t-shirt,1,no,,,,
72,"The paint would melt in the sun, so we used a varnish instead, since the _ was susceptible to heat.",paint,varnish,1,no,,,,
73,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.",glow sticks,jars,1,no,,,,
74,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was never cold.,Joel,Joseph,2,yes,75,lexical/attribute_flip,,
75,Joel always liked to turn the heater up higher than Joseph did for the reason that _ was always cold.,Joel,Joseph,1,yes,74,lexical/attribute_flip,,
76,The teen found the new hat was no substitute for his cool shirt.  The _ was just cool to wear to school.,hat,shirt,2,no,,,,
77,Mary was helping Patricia's daughter put on makeup but  _ watches a lot of makeup tutorials.,Mary,Patricia,2,yes,78,structural/framing,,
78,Mary was helping Patricia's daughter put on makeup because _ watches a lot of makeup tutorials.,Mary,Patricia,1,yes,77,structural/framing,,
79,"He wanted to kill time at the house instead of the playground, because everyone at the _ was fun.",playground,house,2,no,,,,
80,"Aaron didn't know Dennis had a peanut allergy, so when _ made peanut chicken an ambulance was called.",Aaron,Dennis,1,yes,81,lexical/attribute_flip,,
81,"Aaron didn't know Dennis had a peanut allergy, so when _ ate peanut chicken an ambulance was called.",Aaron,Dennis,2,yes,80,lexical/attribute_flip,,
82,"God liked to control the day and the night, but the _ was too bright.",day,night,1,no,,,,
83,"Brett asked Joel for advice and guidance about waxing his mustache, and afterwards _ felt burdened.",Brett,Joel,2,no,,,,
84,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,living room,bedroom,1,yes,85,lexical/attribute_flip,,
85,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was cleaner.,living room,bedroom,2,yes,84,lexical/attribute_flip,,
86,Amy went over to the waiting room at the hospital to calm Samantha because _ was placid.,Amy,Samantha,1,no,,,,
87,Megan forgot to buy deodorant at the store so they borrowed Jessica's deodorant and _ never found out.,Megan,Jessica,2,yes,88,lexical/attribute_flip,,
88,Megan forgot to buy deodorant at the store so they borrowed Jessica's deodorant and _ hoped they never found out.,Megan,Jessica,1,yes,87,lexical/attribute_flip,,
89,"Amy thought she was the mirror image of Natalie , but _ could not be convinced to see the similarity.",Amy,Natalie,2,yes,90,lexical/attribute_flip,,
90,"Amy thought she was the mirror image of Natalie , but _ could not persuade her to see the similarity.",Amy,Natalie,1,yes,89,lexical/attribute_flip,,
91,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,woven necklace,ball,1,no,,,,
92,"Emily never had as much money to spend as Carrie, because _ had a good job.",Emily,Carrie,2,no,,,,
93,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is cheaper.",doors,desks,1,yes,94,lexical/attribute_flip,,
94,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.",doors,desks,2,yes,93,lexical/attribute_flip,,
95,The arrow stuck to the bark but not the stone because the _ was flimsy.,bark,stone,1,yes,96,lexical/attribute_flip,,
96,The arrow stuck to the bark but not the stone because the _ was hard.,bark,stone,2,yes,95,lexical/attribute_flip,,
97,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,body,grave,1,no,,,,
98,The sheet recovered can easily be hiding between the space in the door. The _ is thin.,sheet,space,1,yes,99,lexical/attribute_flip,,
99,The sheet recovered can easily be hiding between the space in the door. The _ is wide.,sheet,space,2,yes,98,lexical/attribute_flip,,
100,Mike doesn't like the table in his living room as much as the couch. The _ resonates with the other decorations.,table,couch,2,no,,,,
101,Steven believes they can buy happiness but Craig thinks otherwise as _ is very realistic.,Steven,Craig,2,yes,102,lexical/attribute_flip,,
102,Steven believes they can buy happiness but Craig thinks otherwise as _ is very materialistic.,Steven,Craig,1,yes,101,lexical/attribute_flip,,
103,They brought the cornhole supplies to the camp site so they could play while adults cooked dinner.  The boys really enjoyed the _ after the game.,cornhole,dinner,2,no,,,,
104,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,Angela,Rebecca,1,yes,105,lexical/attribute_flip,,
105,The game of chess was easy to play for Angela but not Rebecca because  _ did not have an analytical mind.,Angela,Rebecca,2,yes,104,lexical/attribute_flip,,
106,"To pay for dinner, he used the credit card rather than cash. The _ was not available.",cash,card,1,no,,,,
107,"The plan devised by Christine to get Kayla to like them failed, as _ did not really try it.",Christine,Kayla,1,no,,,,
108,"Since the diabetic woman had to limit her sugar intake, she ignored the pie and had a cookie instead because the _ was full of sugar.",pie,cookie,1,no,,,,
109,"The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was dangerous.",diet,surgery,2,no,,,,
110,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the coach.,Rachel,Megan,1,yes,111,lexical/attribute_flip,,
111,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the athlete.,Rachel,Megan,2,yes,110,lexical/attribute_flip,,
112,"Sarah was quickly promoted to manager over Kayla, because _ excelled at angering other people.",Sarah,Kayla,2,no,,,,
113,"Brett was browsing the internet while he found the information unlike Randy, _ prefers using books.",Brett,Randy,2,no,,,,
114,Dennis knows that Jeffrey is an animal lover and _ knows he wants to go to the zoo to see them.,Dennis,Jeffrey,1,no,,,,
115,"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very healthy diet.",Betty,Elena,2,yes,116,lexical/attribute_flip,,
116,"Betty drank chocolate shakes while Elena drank carrot juice, and _ had a very unhealthy diet.",Betty,Elena,1,yes,115,lexical/attribute_flip,,
117,"Carrie posted their sofa for sale on Craigslist, and had received an offer they had to decline because the _ is valuable.",offer,sofa,2,no,,,,
118,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.",leaves,books,2,yes,119,lexical/attribute_flip,,
119,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too massive.",leaves,books,1,yes,118,lexical/attribute_flip,,
120,The president had their speech at the auditorium rather than the park because the _ was bigger.,auditorium,park,1,yes,121,lexical/attribute_flip,,
121,The president had their speech at the auditorium rather than the park because the _ was smaller.,auditorium,park,2,yes,120,lexical/attribute_flip,,
122,"When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and _ then became angry.",Steven,Robert,1,yes,123,lexical/attribute_flip,,
123,"When Steven found that their T-shirt had shrunk in the laundry, Robert's first reaction was to laugh, and _ became apologetic.",Steven,Robert,2,yes,122,lexical/attribute_flip,,
124,She counted her calories for her diet and found she needed more so she ate a brownie instead of an apple since the _ has fewer.,apple,brownie,1,no,,,,
125,Felicia liked wearing glasses more than braces because she could take the _ off after two years.,glasses,braces,2,yes,126,lexical/attribute_flip,,
126,Felicia liked wearing glasses more than braces because she could take the _ off every day.,glasses,braces,1,yes,125,lexical/attribute_flip,,
127,Randy's hair is dry when compared to Ian's due to _ using a strong conditioner.,Randy,Ian,2,no,,,,
128,"Adam was a crook and not a law-abiding citizen like Joseph, so it was surprising that _ was the one with a restraining order against him.",Adam,Joseph,2,yes,129,lexical/attribute_flip,,
129,"Adam was law-abiding and not a crook like Joseph, so it was surprising that _ was the one with a restraining order against him.",Adam,Joseph,1,yes,128,lexical/attribute_flip,,
130,The wages at the factory were lower than the wages at the plant since it was more safe to work at the _ .,plant,factory,2,no,,,,
131,The health of Joel was stronger than that of William due to _ being a cigar smoker.,Joel,William,2,no,,,,
132,It was easy for Amy but not Rachel to create a meal because _ had taken woodshop in school.,Amy,Rachel,2,no,,,,
133,"Ann's babies were crying, and she could give them a bottle or a rattle.  She tried the _ first in case they were bored.",bottle,rattle,2,no,,,,
134,Rebecca thought Disney movies were the best thing to watch but Samantha like horror movies better. _ rented Saw from Redbox.,Rebecca,Samantha,2,no,,,,
135,"The house of Aaron took some damage from the storm but not Michael's house, because _ lived farther away.",Aaron,Michael,2,no,,,,
136,"Jennifer dragged Felicia along to a self help workshop about how to succeed, because _ wanted some company.",Jennifer,Felicia,1,no,,,,
137,Mary can read the clock in the room at night without the light even though the _ is dark.,clock,room,2,no,,,,
138,"Logan reads a lot, while Donald almost never picks up a book because _ is a plumber.",Logan,Donald,2,yes,139,lexical/attribute_flip,,
139,"Logan reads a lot, while Donald almost never picks up a book because _ is a student.",Logan,Donald,1,yes,138,lexical/attribute_flip,,
140,Kyle wanted to crush Ryan 's dreams of becoming a movie actor. _ was a threat to him.,Kyle,Ryan,2,no,,,,
141,"The wind during the last hurricane tried to knock over their new house, but the _ was too strong.",house,wind,1,no,,,,
142,Betty made the choice to reduce Samantha's salary after _ started cutting back on efficiency.,Betty,Samantha,2,no,,,,
143,"During the rescue mission, Maria pulled Rebecca away from the minefield since _ was a civilian.",Maria,Rebecca,2,no,,,,
144,The jewelry sold for less than the baseball card did since the _ was very common.,card,jewelry,2,no,,,,
145,"Laura brought extensions to Monica at the salon, so that _ could get their dreads treated professionally.",Laura,Monica,1,yes,146,lexical/attribute_flip,,
146,"Laura brought extensions to Monica at the salon, so that _ could treat their dreads professionally.",Laura,Monica,2,yes,145,lexical/attribute_flip,,
147,The installation process was simpler for the cable over the internet because the man had never installed the _ previously.,cable,internet,2,yes,148,lexical/attribute_flip,,
148,The installation process was simpler for the cable over the internet because the man had already installed the _ previously.,cable,internet,1,yes,147,lexical/attribute_flip,,
149,Jessica wanted Mary to help them decorate their new house because _ asked them not to do it alone.,Jessica,Mary,2,no,,,,
150,William went on the ride more than Matthew did because _ thought it was scary.,William,Matthew,2,no,,,,
151,"Megan took Monica to a wood shack in the mountains, because _ was a kidnapper trying to hide.",Megan,Monica,1,no,,,,
152,"At the beauty salon, Angela preferred to work on her eyebrows instead of her eyelashes because the _ were already worked on.",eyebrows,eyelashes,2,no,,,,
153,Samuel tried unsuccessfully to get Brett to skip school because _ was a truant that didn't follow the rules.,Samuel,Brett,1,no,,,,
154,Kayla prepared a foot soak bath for Cynthia for their birthday so _ is pouring in water.,Kayla,Cynthia,1,no,,,,
155,"The man looked at the sundial since a watch or clocktower was not at his disposal, having lost the _ .",watch,clocktower,1,no,,,,
156,Hunter chose to eat a banana for breakfast every morning but Michael did not because _ is unconcerned about their health.,Hunter,Michael,2,no,,,,
157,"The IRS sent Tim a letter informing him of the audit, which could occure at the house or the office.  Tim chose a comfortable setting of the _ .",office,house,2,no,,,,
158,Patricia decided to buy Felicia dinner because they had been through a lot and _ just inherited some money.,Patricia,Felicia,1,yes,159,lexical/attribute_flip,,
159,Patricia decided to buy Felicia dinner because they had been through a lot and _ just lost some money.,Patricia,Felicia,2,yes,158,lexical/attribute_flip,,
160,"Sarah thought that Elena was overpacking for Hawaii, because _ had a very full suitcase.",Sarah,Elena,2,no,,,,
161,William liked to be outside more than Kyle so _ spent time arguing against getting a pool.,William,Kyle,2,yes,162,lexical/attribute_flip,,
162,William liked to be outside more than Kyle so _ spent time arguing for getting a pool.,William,Kyle,1,yes,161,lexical/attribute_flip,,
163,"John never mentioned his canoe, but had a long conversation with Ron about the raft, because John rarely used the _ .",canoe,raft,1,no,,,,
164,"Monica gives Jessica a book about posture, because _ has been trying to get better at ballet dancing.",Monica,Jessica,2,no,,,,
165,My gun was inspected with a cloth to make sure it worked fine. The _ was hard.,cloth,gun,2,yes,166,lexical/attribute_flip,,
166,My gun was inspected with a cloth to make sure it worked fine. The _ was soft.,cloth,gun,1,yes,165,lexical/attribute_flip,,
167,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was used.",hammer,screwdriver,1,yes,168,lexical/attribute_flip,,
168,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was brand new.",hammer,screwdriver,2,yes,167,lexical/attribute_flip,,
169,"The temperature in winter is much different than summer,  the _  is always lower.",summer,winter,2,no,,,,
170,The sliding glass door was broken when Eric pushed Ian through it because _ is a pushover.,Eric,Ian,2,no,,,,
171,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was less fragile.",Urn,Vase,2,yes,172,lexical/attribute_flip,,
172,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was more fragile.",Urn,Vase,1,yes,171,lexical/attribute_flip,,
173,Tina made a schedule to keep track of her work and school obligations.  She preferred to focus on the _ because she wanted to learn.,school,work,1,no,,,,
174,"Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha, because _ is careful.",Jessica,Samantha,1,no,,,,
175,Kerry was running later when he took his car to work than when he took a taxi because he ran into more traffic in the _ .,car,taxi,1,no,,,,
176,The history of the village is more intriguing than the history of the city because the _ is very new.,village,city,2,no,,,,
177,Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,Rachel,Patricia,1,yes,178,structural/framing,,
178,Rachel told Patricia to pick up some baby powder at the store but _ had sweaty feet too.,Rachel,Patricia,2,yes,177,structural/framing,,
179,Neil looked all over the neighborhood for their missing dog until Samuel called and _ got their dog back.,Neil,Samuel,1,no,,,,
180,I did not buy the color pink rose flowers  for my wedding because the _ is too bright.,color,wedding,1,no,,,,
181,"I started playing drums young.  Sometimes I played in the garage and sometimes my room, but my parents preferred knowing I was in the  _  .",garage,room,1,no,,,,
182,"At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ is a tree cutter.",Mary,Rebecca,2,no,,,,
183,"The sand and water in the fish tank were very dirty, so the _ needed to be filtered.",water,sand,1,yes,184,lexical/attribute_flip,,
184,"The sand and water in the fish tank were very dirty, so the _ needed to be scrubbed.",water,sand,2,yes,183,lexical/attribute_flip,,
185,Warts appeared on Jerry's limbs after he went through the jungle because the _ were infectious.,warts,limbs,1,no,,,,
186,"Pete preferred to use the sheet to the blanket, because the _ was much hotter.",sheet,blanket,2,no,,,,
187,"She preferred a globe of the world made of PVC instead of plastic, because the _ made it look expensive.",plastic,PVC,2,no,,,,
188,"People think _ is embarassed, because Samantha made snide comments about the shirt Rebecca was wearing.",Samantha,Rebecca,2,no,,,,
189,Adam's mindset was a lot stronger than William's because _ was able to control it.,Adam,William,1,no,,,,
190,The puncture healed quicker than the cut because the _ was a more superficial wound.,cut,puncture,2,no,,,,
191,"At the beach, Emily collected some seashells for her mother Maria. _ polished the seashells before giving them away.",Emily,Maria,1,no,,,,
192,Using a needle to sew together both the leather and silk was difficult.  The _ was hard get through.,leather,silk,1,no,,,,
193,The maid took away a cozy blanket from Lawrence but not Nick because _ was very hot.,Lawrence,Nick,1,yes,194,lexical/attribute_flip,,
194,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cold.,Lawrence,Nick,2,yes,193,lexical/attribute_flip,,
195,"The photo came out of the Polaroid camera and fell onto the tray, so now the _ is lighter.",camera,tray,1,no,,,,
196,Brett asked Nelson where they were because _ had no idea after he fell asleep.,Brett,Nelson,1,yes,197,lexical/attribute_flip,,
197,Brett asked Nelson where they were because _ had had been driving after he fell asleep.,Brett,Nelson,2,yes,196,lexical/attribute_flip,,
198,Leslie coughed more when they were eating their food than Adam although there was more seasoning in the food of _ .,Leslie,Adam,2,no,,,,
199,"Craig gifted Eric a new picnic table, because _ borrowed some money a while ago.",Craig,Eric,1,yes,200,lexical/attribute_flip,,
200,"Craig gifted Eric a new picnic table, because _ lent him some money a while ago.",Craig,Eric,2,yes,199,lexical/attribute_flip,,
201,"Victoria was eager to make the big sale to Sarah , as _ needed the money that day.",Victoria,Sarah,1,yes,202,lexical/attribute_flip,,
202,"Victoria was eager to make the big sale to Sarah , as _ had the money that day.",Victoria,Sarah,2,yes,201,lexical/attribute_flip,,
203,"Robert took voice lessons from Randy, because _ was known to be on American Idol.",Robert,Randy,2,no,,,,
204,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a flat stomach.,Cynthia,Laura,1,yes,205,lexical/attribute_flip,,
205,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a fat stomach.,Cynthia,Laura,2,yes,204,lexical/attribute_flip,,
206,"Paint was applied to the chairs but not the tables, since the _ were new.",chairs,tables,2,yes,207,lexical/attribute_flip,,
207,"Paint was applied to the chairs but not the tables, since the _ were old.",chairs,tables,1,yes,206,lexical/attribute_flip,,
208,"In high school Matthew was most popular among the teachers as were Steven was among the students, _ was liked by adolescents.",Matthew,Steven,2,no,,,,
209,The shoe james bought got pinched by a nail while jogging because the _ is soft.,shoe,nail,1,no,,,,
210,Lawrence liked watching foreign movies with subtitles unlike Jason because _ criticized the original language of the film.,Lawrence,Jason,2,yes,211,lexical/attribute_flip,,
211,Lawrence liked watching foreign movies with subtitles unlike Jason because _ appreciated the original language of the film.,Lawrence,Jason,1,yes,210,lexical/attribute_flip,,
212,The fishing line snagged and broke on a rock because the _ was too heavy.,fishing line,rock,2,no,,,,
213,Johnny likes fruits more than vegetables in his new keto diet because the _ are saccharine.,fruits,vegetables,1,no,,,,
214,"Victoria was still grieving the death of a friend more than Elena, because _ had a more distant relationship with the friend.",Victoria,Elena,2,yes,215,lexical/attribute_flip,,
215,"Victoria was still grieving the death of a friend more than Elena, because _ had a very close relationship with the friend.",Victoria,Elena,1,yes,214,lexical/attribute_flip,,
216,The bill had extra charges for past due and hookup. I owe the _ for being a new customer.,past due,hookup,2,no,,,,
217,"Cynthia had a much harder life than Amy, so when _ said life was good, it was an unusual sentiment.",Cynthia,Amy,1,no,,,,
218,The courage of Ian was a lot stronger than Michael because _ had been through a lot in life.,Ian,Michael,1,no,,,,
219,The chef fried less mushrooms than tomatoes because the _ were ordered frequently at the restaurant.,mushrooms,tomatoes,2,no,,,,
220,"Lawrence dealt the cards to Joseph at the blackjack table, because _ was a professional player.",Lawrence,Joseph,2,no,,,,
221,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.",garden,store,2,yes,222,lexical/attribute_flip,,
222,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better because it will be fresh.",garden,store,1,yes,221,lexical/attribute_flip,,
223,"Samantha strictly followed their diet while Sarah ate what they felt like, and _ ate chicken and broccoli all week.",Samantha,Sarah,1,no,,,,
224,It seemed more likely that Brett would wear a fedora rather than Justin because _ was known to dress stylishly.,Brett,Justin,1,yes,225,lexical/attribute_flip,,
225,It seemed more likely that Brett would wear a fedora rather than Justin because _ did not often dress stylishly.,Brett,Justin,2,yes,224,lexical/attribute_flip,,
226,William did not mind if it took them a while to prepare a meal but Adam did because _ was very meticulous.,William,Adam,1,no,,,,
227,The wall of the house looks nicer than the one in the garage despite that the _ was painted more recently.,house,garage,2,no,,,,
228,Kevin ate large amounts of food but not Adam. _ didn't have to get checked to see if they had a tapeworm.,Kevin,Adam,2,no,,,,
229,The computer of Victoria ran faster than that of Carrie because _ downloaded less files.,Victoria,Carrie,1,yes,230,lexical/attribute_flip,,
230,The computer of Victoria ran slower than that of Carrie because _ downloaded less files.,Victoria,Carrie,2,yes,229,lexical/attribute_flip,,
231,My face was more familiar than it was at the bar than the gym because I went to the _ very rarely.,bar,gym,2,yes,232,lexical/attribute_flip,,
232,My face was more familiar than it was at the bar than the gym because I went to the _ several times a week.,bar,gym,1,yes,231,lexical/attribute_flip,,
233,Randy showed Samuel the abused horse that he rescued from the shelter.  _ was proud of his friend.,Randy,Samuel,2,no,,,,
234,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was flexible.,Elena,Amy,1,yes,235,lexical/attribute_flip,,
235,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was inflexible.,Elena,Amy,2,yes,234,lexical/attribute_flip,,
236,"The cake that Lawrence tried to bake for Ryan didn't rise, and _ felt forgiving abut it.",Lawrence,Ryan,2,no,,,,
