item_id,cue_category,perturbation_type,original_sentence,perturbed_sentence,grammar_valid,meaning_preserved,gold_preserved,keep_for_analysis,validator_notes
40,structural,structural,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car.,"Because _ couldn't afford to buy a new car., Brian was jealous of Brett's new car.",,,,,
54,structural,structural,Jennifer was more of a morning person than Natalie because _ always went to bed early and got a good night's rest.,"Because _ always went to bed early and got a good night's rest., Jennifer was more of a morning person than Natalie.",,,,,
55,structural,structural,"Alcohol is a love of Matthew's, but Ryan can't stand the stuff because _ is a sober alcoholic.","Because _ is a sober alcoholic., Alcohol is a love of Matthew's, but Ryan can't stand the stuff.",,,,,
58,structural,structural,"Nick wanted to play a game on the floor, but Dennis was hesitant because of his knees. _ was disappointed.","Because of his knees. _ was disappointed., Nick wanted to play a game on the floor, but Dennis was hesitant.",,,,,
59,structural,structural,"Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha because _ was a sinful criminal.","Because _ was a sinful criminal., Although she was being prosecuted, Monica was welcomed into the sanctuary of the church by Samantha.",,,,,
60,structural,structural,"The battle was less fierce than the great war, because the _ lasted one year.","Because the _ lasted one year., The battle was less fierce than the great war,.",,,,,
69,structural,structural,The bartender cut Carrie off but continued to serve Emily because _ was too drunk.,"Because _ was too drunk., The bartender cut Carrie off but continued to serve Emily.",,,,,
70,lexical,adjective_polarity,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and young fashioned.,,,,,
70,structural,structural,Blaze always wore a t-shirt instead of a shirt because he thought that the _ was stuffy and old fashioned.,"Because he thought that the _ was stuffy and old fashioned., Blaze always wore a t-shirt instead of a shirt.",,,,,
72,lexical,adjective_polarity,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too small.",,,,,
72,structural,structural,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","Because the _ were too big., I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars.",,,,,
72,lexical,lexical_swap,"I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too big.","I tried to make mini lamps by using glow sticks in mason jars, but had to get larger jars because the _ were too large.",,,,,
77,structural,structural,Mary was helping Patricia's daughter put on makeup because _ watches a lot of makeup tutorials.,"Because _ watches a lot of makeup tutorials., Mary was helping Patricia's daughter put on makeup.",,,,,
78,structural,structural,"He wanted to kill time at the house instead of the playground, because everyone at the _ was fun.","Because everyone at the _ was fun., He wanted to kill time at the house instead of the playground,.",,,,,
83,structural,structural,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was dirtier.,"Because the _ was dirtier., The filter in the living room needed to be changed more often than the one in the bedroom.",,,,,
84,structural,structural,The filter in the living room needed to be changed more often than the one in the bedroom because the _ was cleaner.,"Because the _ was cleaner., The filter in the living room needed to be changed more often than the one in the bedroom.",,,,,
85,structural,structural,Amy went over to the waiting room at the hospital to calm Samantha because _ was placid.,"Because _ was placid., Amy went over to the waiting room at the hospital to calm Samantha.",,,,,
90,lexical,adjective_polarity,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,I helped my sister find her gyoung necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,,,,,
90,structural,structural,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball because the _ was so casual.,"Because the _ was so casual., I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball.",,,,,
91,structural,structural,"Emily never had as much money to spend as Carrie, because _ had a good job.","Because _ had a good job., Emily never had as much money to spend as Carrie,.",,,,,
92,structural,structural,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is cheaper.","Because the _ material is cheaper., The wooden doors at my friends work are worse than the wooden desks at my work,.",,,,,
93,lexical,adjective_polarity,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.","The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is weaker.",,,,,
93,structural,structural,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is stronger.","Because the _ material is stronger., The wooden doors at my friends work are worse than the wooden desks at my work,.",,,,,
94,structural,structural,The arrow stuck to the bark but not the stone because the _ was flimsy.,"Because the _ was flimsy., The arrow stuck to the bark but not the stone.",,,,,
95,structural,structural,The arrow stuck to the bark but not the stone because the _ was hard.,"Because the _ was hard., The arrow stuck to the bark but not the stone.",,,,,
95,lexical,lexical_swap,The arrow stuck to the bark but not the stone because the _ was hard.,The arrow stuck to the bark but not the stone because the _ was difficult.,,,,,
96,lexical,adjective_polarity,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,The leg of the pig body stuck out of the grave where it was buried because the _ is small.,,,,,
96,structural,structural,The leg of the pig body stuck out of the grave where it was buried because the _ is large.,"Because the _ is large., The leg of the pig body stuck out of the grave where it was buried.",,,,,
103,structural,structural,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,"Because _ had a analytical mind., The game of chess was easy to play for Angela but not Rebecca.",,,,,
103,lexical,lexical_swap,The game of chess was easy to play for Angela but not Rebecca because _ had a analytical mind.,The game of chess was simple to play for Angela but not Rebecca because _ had a analytical mind.,,,,,
104,structural,structural,The game of chess was easy to play for Angela but not Rebecca because  _ did not have an analytical mind.,"Because _ did not have an analytical mind., The game of chess was easy to play for Angela but not Rebecca.",,,,,
104,lexical,lexical_swap,The game of chess was easy to play for Angela but not Rebecca because  _ did not have an analytical mind.,The game of chess was simple to play for Angela but not Rebecca because  _ did not have an analytical mind.,,,,,
107,structural,structural,"Since the diabetic woman had to limit her sugar intake, she ignored the pie and had a cookie instead because the _ was full of sugar.","Because the _ was full of sugar., Since the diabetic woman had to limit her sugar intake, she ignored the pie and had a cookie instead.",,,,,
108,structural,structural,"The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _ because he felt it was dangerous.","Because he felt it was dangerous., The doctor offered to treat the patient's illness quickly with surgery or slowly with diet, and the patient refused the _.",,,,,
109,structural,structural,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the coach.,"Because _ was the coach., Throughout the practice Rachel pushed the limits of Megan to get ready for the game.",,,,,
110,structural,structural,Throughout the practice Rachel pushed the limits of Megan to get ready for the game because _ was the athlete.,"Because _ was the athlete., Throughout the practice Rachel pushed the limits of Megan to get ready for the game.",,,,,
111,structural,structural,"Sarah was quickly promoted to manager over Kayla, because _ excelled at angering other people.","Because _ excelled at angering other people., Sarah was quickly promoted to manager over Kayla,.",,,,,
116,structural,structural,"Carrie posted their sofa for sale on Craigslist, and had received an offer they had to decline because the _ is valuable.","Because the _ is valuable., Carrie posted their sofa for sale on Craigslist, and had received an offer they had to decline.",,,,,
117,lexical,adjective_polarity,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too big.",,,,,
117,structural,structural,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","Because the _ were too small., I picked up some leaves to put in the books and dry, but they didn't fit.",,,,,
117,lexical,lexical_swap,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too small.","I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too tiny.",,,,,
118,structural,structural,"I picked up some leaves to put in the books and dry, but they didn't fit because the _ were too massive.","Because the _ were too massive., I picked up some leaves to put in the books and dry, but they didn't fit.",,,,,
119,lexical,adjective_polarity,The president had their speech at the auditorium rather than the park because the _ was bigger.,The president had their speech at the auditorium rather than the park because the _ was smallger.,,,,,
119,structural,structural,The president had their speech at the auditorium rather than the park because the _ was bigger.,"Because the _ was bigger., The president had their speech at the auditorium rather than the park.",,,,,
119,lexical,lexical_swap,The president had their speech at the auditorium rather than the park because the _ was bigger.,The president had their speech at the auditorium rather than the park because the _ was largeger.,,,,,
120,lexical,adjective_polarity,The president had their speech at the auditorium rather than the park because the _ was smaller.,The president had their speech at the auditorium rather than the park because the _ was biger.,,,,,
120,structural,structural,The president had their speech at the auditorium rather than the park because the _ was smaller.,"Because the _ was smaller., The president had their speech at the auditorium rather than the park.",,,,,
120,lexical,lexical_swap,The president had their speech at the auditorium rather than the park because the _ was smaller.,The president had their speech at the auditorium rather than the park because the _ was tinyer.,,,,,
124,structural,structural,Felicia liked wearing glasses more than braces because she could take the _ off after two years.,"Because she could take the _ off after two years., Felicia liked wearing glasses more than braces.",,,,,
125,structural,structural,Felicia liked wearing glasses more than braces because she could take the _ off every day.,"Because she could take the _ off every day., Felicia liked wearing glasses more than braces.",,,,,
131,structural,structural,It was easy for Amy but not Rachel to create a meal because _ had taken woodshop in school.,"Because _ had taken woodshop in school., It was easy for Amy but not Rachel to create a meal.",,,,,
131,lexical,lexical_swap,It was easy for Amy but not Rachel to create a meal because _ had taken woodshop in school.,It was simple for Amy but not Rachel to create a meal because _ had taken woodshop in school.,,,,,
134,structural,structural,"The house of Aaron took some damage from the storm but not Michael's house, because _ lived farther away.","Because _ lived farther away., The house of Aaron took some damage from the storm but not Michael's house,.",,,,,
135,structural,structural,"Jennifer dragged Felicia along to a self help workshop about how to succeed, because _ wanted some company.","Because _ wanted some company., Jennifer dragged Felicia along to a self help workshop about how to succeed,.",,,,,
137,structural,structural,"Logan reads a lot, while Donald almost never picks up a book because _ is a plumber.","Because _ is a plumber., Logan reads a lot, while Donald almost never picks up a book.",,,,,
138,structural,structural,"Logan reads a lot, while Donald almost never picks up a book because _ is a student.","Because _ is a student., Logan reads a lot, while Donald almost never picks up a book.",,,,,
146,structural,structural,The installation process was simpler for the cable over the internet because the man had never installed the _ previously.,"Because the man had never installed the _ previously., The installation process was simpler for the cable over the internet.",,,,,
147,structural,structural,The installation process was simpler for the cable over the internet because the man had already installed the _ previously.,"Because the man had already installed the _ previously., The installation process was simpler for the cable over the internet.",,,,,
148,structural,structural,Jessica wanted Mary to help them decorate their new house because _ asked them not to do it alone.,"Because _ asked them not to do it alone., Jessica wanted Mary to help them decorate their new house.",,,,,
149,structural,structural,William went on the ride more than Matthew did because _ thought it was scary.,"Because _ thought it was scary., William went on the ride more than Matthew did.",,,,,
150,structural,structural,"Megan took Monica to a wood shack in the mountains, because _ was a kidnapper trying to hide.","Because _ was a kidnapper trying to hide., Megan took Monica to a wood shack in the mountains,.",,,,,
151,structural,structural,"At the beauty salon, Angela preferred to work on her eyebrows instead of her eyelashes because the _ were already worked on.","Because the _ were already worked on., At the beauty salon, Angela preferred to work on her eyebrows instead of her eyelashes.",,,,,
152,structural,structural,Samuel tried unsuccessfully to get Brett to skip school because _ was a truant that didn't follow the rules.,"Because _ was a truant that didn't follow the rules., Samuel tried unsuccessfully to get Brett to skip school.",,,,,
155,structural,structural,Hunter chose to eat a banana for breakfast every morning but Michael did not because _ is unconcerned about their health.,"Because _ is unconcerned about their health., Hunter chose to eat a banana for breakfast every morning but Michael did not.",,,,,
157,structural,structural,Patricia decided to buy Felicia dinner because they had been through a lot and _ just inherited some money.,"Because they had been through a lot and _ just inherited some money., Patricia decided to buy Felicia dinner.",,,,,
158,structural,structural,Patricia decided to buy Felicia dinner because they had been through a lot and _ just lost some money.,"Because they had been through a lot and _ just lost some money., Patricia decided to buy Felicia dinner.",,,,,
159,structural,structural,"Sarah thought that Elena was overpacking for Hawaii, because _ had a very full suitcase.","Because _ had a very full suitcase., Sarah thought that Elena was overpacking for Hawaii,.",,,,,
162,structural,structural,"John never mentioned his canoe, but had a long conversation with Ron about the raft, because John rarely used the _ .","Because John rarely used the _ ., John never mentioned his canoe, but had a long conversation with Ron about the raft,.",,,,,
163,structural,structural,"Monica gives Jessica a book about posture, because _ has been trying to get better at ballet dancing.","Because _ has been trying to get better at ballet dancing., Monica gives Jessica a book about posture,.",,,,,
166,structural,structural,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was used.","Because the _ was used., At the estate sale, John saw the hammer was more affordable than the screwdriver,.",,,,,
167,structural,structural,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was brand new.","Because the _ was brand new., At the estate sale, John saw the hammer was more affordable than the screwdriver,.",,,,,
169,structural,structural,The sliding glass door was broken when Eric pushed Ian through it because _ is a pushover.,"Because _ is a pushover., The sliding glass door was broken when Eric pushed Ian through it.",,,,,
170,structural,structural,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was less fragile.","Because the _ was less fragile., The woman used a gentle technique when painting the urn but applied more pressure when painting the vase,.",,,,,
171,structural,structural,"The woman used a gentle technique when painting the urn but applied more pressure when painting the vase, because the _ was more fragile.","Because the _ was more fragile., The woman used a gentle technique when painting the urn but applied more pressure when painting the vase,.",,,,,
172,structural,structural,Tina made a schedule to keep track of her work and school obligations.  She preferred to focus on the _ because she wanted to learn.,"Because she wanted to learn., Tina made a schedule to keep track of her work and school obligations.  She preferred to focus on the _.",,,,,
173,structural,structural,"Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha, because _ is careful.","Because _ is careful., Jessica wants to protect herself from infectious diseases so she goes to doctor Samantha,.",,,,,
174,structural,structural,Kerry was running later when he took his car to work than when he took a taxi because he ran into more traffic in the _ .,"Because he ran into more traffic in the _ ., Kerry was running later when he took his car to work than when he took a taxi.",,,,,
175,structural,structural,The history of the village is more intriguing than the history of the city because the _ is very new.,"Because the _ is very new., The history of the village is more intriguing than the history of the city.",,,,,
176,lexical,adjective_polarity,Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,Rachel tyoung Patricia to pick up some baby powder at the store because _ had sweaty feet.,,,,,
176,structural,structural,Rachel told Patricia to pick up some baby powder at the store because _ had sweaty feet.,"Because _ had sweaty feet., Rachel told Patricia to pick up some baby powder at the store.",,,,,
179,structural,structural,I did not buy the color pink rose flowers  for my wedding because the _ is too bright.,"Because the _ is too bright., I did not buy the color pink rose flowers  for my wedding.",,,,,
181,structural,structural,"At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's because _ is a tree cutter.","Because _ is a tree cutter., At work, Mary uses a broiler a lot, but Rebecca uses a chainsaw. That's.",,,,,
184,structural,structural,Warts appeared on Jerry's limbs after he went through the jungle because the _ were infectious.,"Because the _ were infectious., Warts appeared on Jerry's limbs after he went through the jungle.",,,,,
185,structural,structural,"Pete preferred to use the sheet to the blanket, because the _ was much hotter.","Because the _ was much hotter., Pete preferred to use the sheet to the blanket,.",,,,,
186,structural,structural,"She preferred a globe of the world made of PVC instead of plastic, because the _ made it look expensive.","Because the _ made it look expensive., She preferred a globe of the world made of PVC instead of plastic,.",,,,,
187,structural,structural,"People think _ is embarassed, because Samantha made snide comments about the shirt Rebecca was wearing.","Because Samantha made snide comments about the shirt Rebecca was wearing., People think _ is embarassed,.",,,,,
188,lexical,adjective_polarity,Adam's mindset was a lot stronger than William's because _ was able to control it.,Adam's mindset was a lot weaker than William's because _ was able to control it.,,,,,
188,structural,structural,Adam's mindset was a lot stronger than William's because _ was able to control it.,"Because _ was able to control it., Adam's mindset was a lot stronger than William's.",,,,,
189,structural,structural,The puncture healed quicker than the cut because the _ was a more superficial wound.,"Because the _ was a more superficial wound., The puncture healed quicker than the cut.",,,,,
192,structural,structural,The maid took away a cozy blanket from Lawrence but not Nick because _ was very hot.,"Because _ was very hot., The maid took away a cozy blanket from Lawrence but not Nick.",,,,,
193,lexical,adjective_polarity,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cold.,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cyoung.,,,,,
193,structural,structural,The maid took away a cozy blanket from Lawrence but not Nick because _ was very cold.,"Because _ was very cold., The maid took away a cozy blanket from Lawrence but not Nick.",,,,,
195,structural,structural,Brett asked Nelson where they were because _ had no idea after he fell asleep.,"Because _ had no idea after he fell asleep., Brett asked Nelson where they were.",,,,,
196,structural,structural,Brett asked Nelson where they were because _ had had been driving after he fell asleep.,"Because _ had had been driving after he fell asleep., Brett asked Nelson where they were.",,,,,
198,structural,structural,"Craig gifted Eric a new picnic table, because _ borrowed some money a while ago.","Because _ borrowed some money a while ago., Craig gifted Eric a new picnic table,.",,,,,
199,structural,structural,"Craig gifted Eric a new picnic table, because _ lent him some money a while ago.","Because _ lent him some money a while ago., Craig gifted Eric a new picnic table,.",,,,,
202,structural,structural,"Robert took voice lessons from Randy, because _ was known to be on American Idol.","Because _ was known to be on American Idol., Robert took voice lessons from Randy,.",,,,,
203,structural,structural,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a flat stomach.,"Because _ had a flat stomach., Whilst on the beach Cynthia loved to wear a bikini but Laura did not.",,,,,
204,structural,structural,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a fat stomach.,"Because _ had a fat stomach., Whilst on the beach Cynthia loved to wear a bikini but Laura did not.",,,,,
208,structural,structural,The shoe james bought got pinched by a nail while jogging because the _ is soft.,"Because the _ is soft., The shoe james bought got pinched by a nail while jogging.",,,,,
209,structural,structural,Lawrence liked watching foreign movies with subtitles unlike Jason because _ criticized the original language of the film.,"Because _ criticized the original language of the film., Lawrence liked watching foreign movies with subtitles unlike Jason.",,,,,
210,structural,structural,Lawrence liked watching foreign movies with subtitles unlike Jason because _ appreciated the original language of the film.,"Because _ appreciated the original language of the film., Lawrence liked watching foreign movies with subtitles unlike Jason.",,,,,
211,structural,structural,The fishing line snagged and broke on a rock because the _ was too heavy.,"Because the _ was too heavy., The fishing line snagged and broke on a rock.",,,,,
212,structural,structural,Johnny likes fruits more than vegetables in his new keto diet because the _ are saccharine.,"Because the _ are saccharine., Johnny likes fruits more than vegetables in his new keto diet.",,,,,
213,structural,structural,"Victoria was still grieving the death of a friend more than Elena, because _ had a more distant relationship with the friend.","Because _ had a more distant relationship with the friend., Victoria was still grieving the death of a friend more than Elena,.",,,,,
214,structural,structural,"Victoria was still grieving the death of a friend more than Elena, because _ had a very close relationship with the friend.","Because _ had a very close relationship with the friend., Victoria was still grieving the death of a friend more than Elena,.",,,,,
217,lexical,adjective_polarity,The courage of Ian was a lot stronger than Michael because _ had been through a lot in life.,The courage of Ian was a lot weaker than Michael because _ had been through a lot in life.,,,,,
217,structural,structural,The courage of Ian was a lot stronger than Michael because _ had been through a lot in life.,"Because _ had been through a lot in life., The courage of Ian was a lot stronger than Michael.",,,,,
218,structural,structural,The chef fried less mushrooms than tomatoes because the _ were ordered frequently at the restaurant.,"Because the _ were ordered frequently at the restaurant., The chef fried less mushrooms than tomatoes.",,,,,
219,structural,structural,"Lawrence dealt the cards to Joseph at the blackjack table, because _ was a professional player.","Because _ was a professional player., Lawrence dealt the cards to Joseph at the blackjack table,.",,,,,
220,lexical,adjective_polarity,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.","You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be younger.",,,,,
220,structural,structural,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland because it will be older.","Because it will be older., You can grow cilantro in a garden or buy it at the store, but the _ variety will taste bland.",,,,,
221,structural,structural,"You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better because it will be fresh.","Because it will be fresh., You can grow cilantro in a garden or buy it at the store, but the _ variety will taste better.",,,,,
223,structural,structural,It seemed more likely that Brett would wear a fedora rather than Justin because _ was known to dress stylishly.,"Because _ was known to dress stylishly., It seemed more likely that Brett would wear a fedora rather than Justin.",,,,,
224,structural,structural,It seemed more likely that Brett would wear a fedora rather than Justin because _ did not often dress stylishly.,"Because _ did not often dress stylishly., It seemed more likely that Brett would wear a fedora rather than Justin.",,,,,
225,structural,structural,William did not mind if it took them a while to prepare a meal but Adam did because _ was very meticulous.,"Because _ was very meticulous., William did not mind if it took them a while to prepare a meal but Adam did.",,,,,
228,structural,structural,The computer of Victoria ran faster than that of Carrie because _ downloaded less files.,"Because _ downloaded less files., The computer of Victoria ran faster than that of Carrie.",,,,,
229,structural,structural,The computer of Victoria ran slower than that of Carrie because _ downloaded less files.,"Because _ downloaded less files., The computer of Victoria ran slower than that of Carrie.",,,,,
230,structural,structural,My face was more familiar than it was at the bar than the gym because I went to the _ very rarely.,"Because I went to the _ very rarely., My face was more familiar than it was at the bar than the gym.",,,,,
231,structural,structural,My face was more familiar than it was at the bar than the gym because I went to the _ several times a week.,"Because I went to the _ several times a week., My face was more familiar than it was at the bar than the gym.",,,,,
233,structural,structural,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was flexible.,"Because _ was flexible., Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was.",,,,,
234,structural,structural,Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because _ was inflexible.,"Because _ was inflexible., Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was.",,,,,
236,structural,structural,Natalie took a longer time to take a bath than Jennifer because _ liked relaxing in the tub.,"Because _ liked relaxing in the tub., Natalie took a longer time to take a bath than Jennifer.",,,,,
240,structural,structural,It is likely that Donald but not Jason would get the job promotion because _ never stayed late and never did extra work.,"Because _ never stayed late and never did extra work., It is likely that Donald but not Jason would get the job promotion.",,,,,
